service_date_key,assigned_sm_code,job_count,haversine_km,osrm_km,km_ratio,haversine_min,osrm_min,min_ratio
2026-01-06,JMOTOS2,3,50.45,74.58,1.478,60.54,77.96,1.288
2026-01-07,40324200,5,179.78,224.07,1.246,215.74,214.87,0.996
2026-01-07,AI005576,2,31.85,43.79,1.375,38.21,46.69,1.222
2026-01-07,AI102315,2,22.87,36.7,1.605,27.44,42.27,1.54
2026-01-07,AI102448,1,43.44,54.45,1.253,52.13,52.41,1.005
2026-01-07,AI102608,1,10.25,13.65,1.332,12.3,16.33,1.328
2026-01-07,AI102933,1,14.16,17.94,1.267,16.99,19.75,1.162
2026-01-07,AI102961,2,21.37,29.04,1.359,25.64,36.5,1.423
2026-01-07,AI102977,1,21.0,31.9,1.519,25.2,36.77,1.459
2026-01-07,AI103128,2,40.67,56.79,1.396,48.8,68.7,1.408
2026-01-07,AI103146,2,40.52,53.2,1.313,48.62,57.55,1.184
2026-01-07,AI103261,3,68.38,92.16,1.348,82.06,104.16,1.269
2026-01-07,AI103264,2,6.06,9.7,1.6,7.28,14.27,1.961
2026-01-07,AI103317,2,47.98,64.23,1.339,57.58,78.43,1.362
2026-01-07,AI105116,1,41.94,50.14,1.195,50.33,57.36,1.14
2026-01-07,JMOTOS2,4,76.31,104.38,1.368,91.57,117.07,1.278
2026-01-08,40324200,4,196.32,243.82,1.242,235.59,224.35,0.952
2026-01-08,AI005576,3,24.25,35.7,1.472,29.1,41.94,1.441
2026-01-08,AI102087,2,44.85,57.81,1.289,53.82,56.26,1.045
2026-01-08,AI102315,3,57.2,78.82,1.378,68.63,91.93,1.339
2026-01-08,AI102448,2,70.69,98.88,1.399,84.82,96.75,1.141
2026-01-08,AI102608,1,29.64,36.87,1.244,35.57,40.52,1.139
2026-01-08,AI102933,2,86.03,110.58,1.285,103.23,95.55,0.926
2026-01-08,AI102961,4,60.92,81.0,1.33,73.11,99.52,1.361
2026-01-08,AI102977,2,20.45,30.91,1.511,24.54,47.37,1.93
2026-01-08,AI103128,4,40.85,54.98,1.346,49.02,70.65,1.441
2026-01-08,AI103146,4,23.19,39.7,1.712,27.83,53.94,1.938
2026-01-08,AI103261,3,121.17,156.8,1.294,145.41,162.47,1.117
2026-01-08,AI103264,3,60.08,73.08,1.216,72.09,83.52,1.159
2026-01-08,AI103317,1,8.68,14.74,1.699,10.41,18.17,1.745
2026-01-08,AI105116,1,22.34,30.16,1.35,26.81,34.41,1.283
2026-01-08,JMOTOS2,5,74.51,101.73,1.365,89.41,114.49,1.281
2026-01-09,40324200,5,59.44,85.96,1.446,71.32,103.47,1.451
2026-01-09,AI005576,4,47.5,56.35,1.186,57.0,70.83,1.243
2026-01-09,AI102087,1,44.72,56.81,1.27,53.66,53.65,1.0
2026-01-09,AI102315,1,10.66,14.66,1.375,12.79,18.02,1.409
2026-01-09,AI102448,1,32.67,40.5,1.24,39.2,42.0,1.071
2026-01-09,AI102608,1,2.98,7.79,2.614,3.58,10.34,2.891
2026-01-09,AI102933,1,9.22,14.62,1.586,11.06,19.94,1.802
2026-01-09,AI102961,2,22.7,28.02,1.234,27.24,34.75,1.276
2026-01-09,AI102977,1,10.86,16.43,1.513,13.03,21.77,1.67
2026-01-09,AI103128,1,33.05,44.73,1.353,39.66,47.59,1.2
2026-01-09,AI103146,1,23.69,33.42,1.411,28.42,34.79,1.224
2026-01-09,AI103261,1,23.65,35.67,1.508,28.38,34.38,1.211
2026-01-09,AI103264,1,42.46,49.03,1.155,50.95,51.24,1.006
2026-01-09,AI103317,1,14.0,17.66,1.262,16.8,21.85,1.301
2026-01-09,AI105116,1,35.57,44.96,1.264,42.68,47.44,1.112
2026-01-09,JMOTOS2,4,72.32,0.0,0.0,86.78,0.0,0.0
2026-01-10,AI005576,1,55.63,76.69,1.379,66.76,63.97,0.958
2026-01-10,AI102961,1,37.33,46.13,1.236,44.79,44.75,0.999
2026-01-10,JMOTOS2,2,30.06,42.11,1.401,36.07,47.69,1.322
2026-01-11,AI005576,1,35.01,51.57,1.473,42.01,47.47,1.13
2026-01-12,40324200,5,83.75,120.05,1.434,100.49,137.47,1.368
2026-01-12,AI005576,2,25.5,37.73,1.479,30.61,40.58,1.326
2026-01-12,AI102087,2,32.76,45.5,1.389,39.32,50.29,1.279
2026-01-12,AI102315,4,106.46,133.58,1.255,127.76,133.94,1.048
2026-01-12,AI102448,4,42.75,59.67,1.396,51.3,70.66,1.377
2026-01-12,AI102608,4,35.43,50.81,1.434,42.51,62.53,1.471
2026-01-12,AI102933,2,36.2,41.06,1.134,43.44,35.64,0.82
2026-01-12,AI102961,5,52.32,75.85,1.45,62.78,93.51,1.489
2026-01-12,AI102977,4,47.05,63.56,1.351,56.46,76.44,1.354
2026-01-12,AI103128,5,77.68,128.92,1.66,93.21,142.46,1.528
2026-01-12,AI103146,5,33.35,67.0,2.009,40.02,98.43,2.459
2026-01-12,AI103261,3,78.45,101.42,1.293,94.14,116.09,1.233
2026-01-12,AI103264,4,125.81,186.68,1.484,150.97,188.35,1.248
2026-01-12,AI103317,4,88.74,125.83,1.418,106.49,120.23,1.129
2026-01-12,AI105116,3,69.97,93.98,1.343,83.97,116.36,1.386
2026-01-12,JMOTOS2,5,78.41,107.83,1.375,94.09,116.52,1.238
2026-01-13,40324200,5,47.79,66.0,1.381,57.35,87.95,1.534
2026-01-13,AI005576,5,154.12,205.93,1.336,184.95,224.71,1.215
2026-01-13,AI102087,4,53.1,70.97,1.337,63.72,86.22,1.353
2026-01-13,AI102315,5,44.49,68.82,1.547,53.39,82.99,1.554
2026-01-13,AI102448,3,91.64,119.87,1.308,109.97,122.4,1.113
2026-01-13,AI102608,3,58.5,72.53,1.24,70.21,88.91,1.266
2026-01-13,AI102961,4,73.68,97.92,1.329,88.42,105.33,1.191
2026-01-13,AI102977,5,37.62,58.18,1.547,45.14,78.82,1.746
2026-01-13,AI103128,4,68.66,99.17,1.444,82.39,112.32,1.363
2026-01-13,AI103146,5,52.75,74.84,1.419,63.31,100.97,1.595
2026-01-13,AI103261,1,21.87,29.83,1.364,26.25,30.3,1.154
2026-01-13,AI103264,5,57.45,77.67,1.352,68.94,99.56,1.444
2026-01-13,AI103317,3,72.32,98.79,1.366,86.78,114.59,1.32
2026-01-13,AI105115,1,71.76,100.09,1.395,86.12,93.88,1.09
2026-01-13,AI105116,4,36.73,52.02,1.416,44.08,65.3,1.481
2026-01-13,JMOTOS2,3,133.42,187.28,1.404,160.11,174.07,1.087
2026-01-14,40324200,5,81.63,118.53,1.452,97.96,143.42,1.464
2026-01-14,AI005576,5,15.68,23.39,1.492,18.82,24.13,1.282
2026-01-14,AI102087,3,47.24,67.14,1.421,56.69,84.23,1.486
2026-01-14,AI102315,2,45.63,62.95,1.38,54.76,58.68,1.072
2026-01-14,AI102448,3,33.86,48.48,1.432,40.64,65.15,1.603
2026-01-14,AI102608,4,67.63,89.34,1.321,81.16,109.75,1.352
2026-01-14,AI102933,4,72.46,87.87,1.213,86.95,91.39,1.051
2026-01-14,AI102961,2,28.19,40.92,1.451,33.83,51.44,1.521
2026-01-14,AI102977,5,61.61,86.21,1.399,73.93,103.57,1.401
2026-01-14,AI103128,2,49.64,82.0,1.652,59.57,93.02,1.562
2026-01-14,AI103146,2,76.0,97.08,1.277,91.2,100.92,1.107
2026-01-14,AI103261,4,90.29,118.56,1.313,108.35,126.03,1.163
2026-01-14,AI103264,2,19.95,30.16,1.512,23.94,41.76,1.744
2026-01-14,AI103317,2,48.92,65.84,1.346,58.7,65.08,1.109
2026-01-14,AI105115,2,127.84,170.5,1.334,153.41,155.8,1.016
2026-01-14,AI105116,3,77.53,99.79,1.287,93.03,107.5,1.156
2026-01-14,JMOTOS2,5,34.68,45.1,1.301,41.61,54.91,1.319
2026-01-15,40324200,5,99.7,140.29,1.407,119.65,150.88,1.261
2026-01-15,AI005576,4,31.97,38.14,1.193,38.36,39.52,1.03
2026-01-15,AI102087,4,56.03,68.28,1.219,67.24,87.84,1.306
2026-01-15,AI102315,2,17.41,20.93,1.202,20.89,28.83,1.38
2026-01-15,AI102448,4,58.61,95.42,1.628,70.33,105.54,1.501
2026-01-15,AI102608,4,77.02,109.59,1.423,92.43,101.08,1.094
2026-01-15,AI102933,2,55.39,72.65,1.312,66.47,80.88,1.217
2026-01-15,AI102961,1,24.85,35.02,1.409,29.82,40.0,1.341
2026-01-15,AI102977,5,41.18,66.26,1.609,49.41,92.23,1.867
2026-01-15,AI103128,2,39.66,53.76,1.356,47.59,56.43,1.186
2026-01-15,AI103146,1,16.15,23.76,1.471,19.38,26.31,1.358
2026-01-15,AI103261,2,28.95,44.86,1.549,34.74,52.65,1.515
2026-01-15,AI103264,1,60.69,67.89,1.119,72.82,73.43,1.008
2026-01-15,AI103317,2,69.49,90.25,1.299,83.39,82.28,0.987
2026-01-15,AI105115,2,73.83,109.37,1.481,88.59,117.34,1.324
2026-01-15,AI105116,4,65.54,97.49,1.487,78.65,119.78,1.523
2026-01-15,JMOTOS2,3,26.36,40.27,1.527,31.64,44.3,1.4
2026-01-16,40324200,4,49.62,66.34,1.337,59.54,89.78,1.508
2026-01-16,AI005576,4,97.19,129.88,1.336,116.63,135.42,1.161
2026-01-16,AI102087,4,76.59,91.96,1.201,91.9,118.53,1.29
2026-01-16,AI102315,2,56.3,68.66,1.22,67.56,68.39,1.012
2026-01-16,AI102448,3,81.66,106.99,1.31,97.99,117.53,1.199
2026-01-16,AI102608,4,152.34,207.8,1.364,182.81,194.86,1.066
2026-01-16,AI102933,2,93.74,123.48,1.317,112.49,111.52,0.991
2026-01-16,AI102961,3,41.25,55.32,1.341,49.5,71.29,1.44
2026-01-16,AI102977,4,49.45,70.95,1.435,59.34,84.83,1.43
2026-01-16,AI103128,3,22.57,46.01,2.039,27.08,56.84,2.099
2026-01-16,AI103146,4,47.44,61.37,1.294,56.92,72.24,1.269
2026-01-16,AI103261,3,77.3,103.33,1.337,92.76,117.26,1.264
2026-01-16,AI103264,3,72.34,88.19,1.219,86.81,94.26,1.086
2026-01-16,AI103317,3,59.67,76.24,1.278,71.6,78.8,1.101
2026-01-16,AI105115,1,79.0,98.52,1.247,94.79,91.82,0.969
2026-01-16,AI105116,5,45.85,60.19,1.313,55.02,85.3,1.55
2026-01-16,JMOTOS2,3,50.95,68.25,1.339,61.14,70.8,1.158
2026-01-17,AI102961,1,49.1,61.77,1.258,58.92,66.97,1.137
2026-01-19,40324200,5,38.73,57.06,1.473,46.48,78.85,1.697
2026-01-19,AI005576,5,27.22,35.96,1.321,32.67,36.99,1.132
2026-01-19,AI102087,3,97.8,127.67,1.305,117.35,137.5,1.172
2026-01-19,AI102315,3,21.83,28.09,1.287,26.2,34.74,1.326
2026-01-19,AI102448,5,68.32,91.32,1.337,81.99,107.09,1.306
2026-01-19,AI102608,5,66.44,93.45,1.407,79.72,123.33,1.547
2026-01-19,AI102933,5,45.87,58.09,1.266,55.05,62.02,1.127
2026-01-19,AI102961,2,30.21,43.23,1.431,36.26,53.72,1.482
2026-01-19,AI102977,3,33.74,49.39,1.464,40.49,59.96,1.481
2026-01-19,AI103128,4,53.97,66.87,1.239,64.77,69.4,1.071
2026-01-19,AI103146,3,70.97,91.88,1.295,85.16,99.2,1.165
2026-01-19,AI103261,5,107.55,147.24,1.369,129.06,162.2,1.257
2026-01-19,AI103264,3,46.39,60.73,1.309,55.67,77.94,1.4
2026-01-19,AI103317,2,65.3,82.26,1.26,78.36,77.26,0.986
2026-01-19,AI105115,2,145.12,192.67,1.328,174.15,167.29,0.961
2026-01-19,AI105116,3,80.8,106.14,1.314,96.96,124.76,1.287
2026-01-19,JMOTOS2,5,39.88,59.06,1.481,47.86,65.67,1.372
2026-01-20,40324200,5,109.65,153.14,1.397,131.58,169.57,1.289
2026-01-20,AI005576,1,14.08,22.08,1.568,16.9,22.64,1.34
2026-01-20,AI102087,3,38.71,57.29,1.48,46.46,69.92,1.505
2026-01-20,AI102315,4,41.9,69.91,1.668,50.28,81.86,1.628
2026-01-20,AI102448,2,60.34,75.27,1.247,72.41,80.19,1.107
2026-01-20,AI102608,4,34.96,45.52,1.302,41.95,55.02,1.312
2026-01-20,AI102933,4,43.45,64.08,1.475,52.14,87.0,1.668
2026-01-20,AI102961,3,60.37,81.33,1.347,72.44,92.92,1.283
2026-01-20,AI102977,4,24.96,36.5,1.463,29.95,48.19,1.609
2026-01-20,AI103128,3,39.77,78.97,1.986,47.72,88.67,1.858
2026-01-20,AI103146,3,40.11,53.88,1.343,48.13,64.72,1.345
2026-01-20,AI103261,3,52.97,73.5,1.388,63.56,79.19,1.246
2026-01-20,AI103264,3,93.52,116.72,1.248,112.22,111.34,0.992
2026-01-20,AI103317,4,63.53,84.78,1.335,76.23,100.58,1.319
2026-01-20,AI105115,5,196.84,263.39,1.338,236.21,264.24,1.119
2026-01-20,AI105116,4,60.22,79.42,1.319,72.26,102.85,1.423
2026-01-20,JMOTOS2,5,36.41,58.28,1.601,43.69,69.27,1.586
2026-01-21,40324200,4,42.79,64.38,1.505,51.35,80.11,1.56
2026-01-21,AI005576,4,63.24,84.62,1.338,75.89,102.7,1.353
2026-01-21,AI102087,3,60.05,77.95,1.298,72.06,93.11,1.292
2026-01-21,AI102315,3,77.87,107.91,1.386,93.45,98.97,1.059
2026-01-21,AI102448,4,49.61,64.83,1.307,59.53,77.46,1.301
2026-01-21,AI102608,3,38.84,55.79,1.436,46.61,60.75,1.303
2026-01-21,AI102933,1,5.16,10.03,1.945,6.19,11.99,1.938
2026-01-21,AI102961,4,42.75,59.54,1.393,51.3,83.66,1.631
2026-01-21,AI102977,4,29.63,48.38,1.633,35.56,69.02,1.941
2026-01-21,AI103128,2,35.83,53.0,1.479,43.0,62.74,1.459
2026-01-21,AI103146,4,168.94,243.73,1.443,202.73,239.76,1.183
2026-01-21,AI103261,2,42.1,54.25,1.289,50.52,66.78,1.322
2026-01-21,AI103264,3,43.19,54.26,1.256,51.82,67.52,1.303
2026-01-21,AI103317,3,43.97,58.49,1.33,52.77,72.01,1.365
2026-01-21,AI105115,1,66.74,87.24,1.307,80.09,85.95,1.073
2026-01-21,AI105116,4,34.34,45.86,1.335,41.21,64.74,1.571
2026-01-21,JMOTOS2,3,173.79,231.22,1.33,208.55,224.22,1.075
2026-01-22,40324200,5,179.09,250.2,1.397,214.91,271.47,1.263
2026-01-22,AI005576,4,28.05,41.54,1.481,33.66,50.42,1.498
2026-01-22,AI102087,4,25.48,36.77,1.443,30.58,50.01,1.635
2026-01-22,AI102315,2,27.33,36.92,1.351,32.8,45.94,1.401
2026-01-22,AI102448,3,42.38,56.3,1.328,50.86,74.86,1.472
2026-01-22,AI102608,3,92.07,123.56,1.342,110.49,131.07,1.186
2026-01-22,AI102933,4,157.75,207.08,1.313,189.3,185.57,0.98
2026-01-22,AI102961,3,22.96,33.3,1.45,27.55,48.89,1.774
2026-01-22,AI102977,5,30.24,42.93,1.419,36.29,58.55,1.613
2026-01-22,AI103128,2,39.89,64.16,1.608,47.87,70.49,1.473
2026-01-22,AI103146,3,38.09,55.54,1.458,45.71,62.19,1.36
2026-01-22,AI103261,3,144.59,186.74,1.292,173.51,193.07,1.113
2026-01-22,AI103264,3,80.19,110.96,1.384,96.23,115.06,1.196
2026-01-22,AI103317,5,61.22,83.09,1.357,73.47,90.65,1.234
2026-01-22,AI105115,1,29.37,44.74,1.523,35.24,42.1,1.195
2026-01-22,AI105116,3,32.5,40.12,1.234,39.0,53.49,1.372
2026-01-22,JMOTOS2,5,37.4,49.78,1.331,44.88,57.73,1.286
2026-01-23,40324200,5,116.75,152.35,1.305,140.1,178.65,1.275
2026-01-23,AI005576,4,138.81,172.96,1.246,166.57,151.85,0.912
2026-01-23,AI102087,4,68.59,99.32,1.448,82.3,119.2,1.448
2026-01-23,AI102315,3,34.72,48.6,1.4,41.67,52.33,1.256
2026-01-23,AI102448,4,39.46,57.98,1.469,47.36,76.7,1.62
2026-01-23,AI102608,2,27.35,38.85,1.42,32.83,43.9,1.337
2026-01-23,AI102961,3,31.75,49.8,1.569,38.1,63.81,1.675
2026-01-23,AI102977,4,39.55,55.97,1.415,47.46,73.21,1.542
2026-01-23,AI103128,3,54.86,80.03,1.459,65.83,88.32,1.342
2026-01-23,AI103146,3,32.54,48.02,1.476,39.04,56.99,1.46
2026-01-23,AI103261,1,6.28,11.88,1.891,7.54,14.8,1.963
2026-01-23,AI103264,2,58.73,74.22,1.264,70.48,87.34,1.239
2026-01-23,AI103317,1,36.05,45.59,1.265,43.25,51.92,1.2
2026-01-23,AI105116,3,105.94,135.9,1.283,127.13,126.15,0.992
2026-01-23,JMOTOS2,4,51.41,76.69,1.492,61.69,82.41,1.336
2026-01-24,AI005576,1,49.68,67.63,1.361,59.62,59.24,0.994
2026-01-24,AI102977,1,10.82,15.23,1.407,12.98,21.56,1.66
2026-01-26,40324200,2,34.94,45.89,1.314,41.92,49.57,1.182
2026-01-26,AI005576,3,50.35,69.88,1.388,60.42,76.83,1.272
2026-01-26,AI102087,2,33.4,45.92,1.375,40.08,51.65,1.289
2026-01-26,AI102315,1,12.55,18.71,1.491,15.06,27.21,1.806
2026-01-26,AI102448,2,37.47,46.46,1.24,44.97,60.04,1.335
2026-01-26,AI102608,2,8.99,17.38,1.933,10.79,29.48,2.733
2026-01-26,AI102961,1,37.33,46.13,1.236,44.79,44.75,0.999
2026-01-26,AI102977,3,31.3,43.62,1.393,37.56,60.18,1.602
2026-01-26,AI105116,3,47.09,63.46,1.348,56.51,80.14,1.418
2026-01-26,JMOTOS2,2,34.55,55.6,1.609,41.46,53.07,1.28
2026-01-27,40324200,3,106.16,170.68,1.608,127.39,180.18,1.414
2026-01-27,AI005576,4,34.12,48.62,1.425,40.95,63.05,1.54
2026-01-27,AI102087,3,43.02,56.81,1.321,51.62,66.22,1.283
2026-01-27,AI102315,3,85.16,108.97,1.28,102.2,115.9,1.134
2026-01-27,AI102448,3,49.0,65.41,1.335,58.8,76.33,1.298
2026-01-27,AI102608,4,44.01,56.3,1.279,52.82,66.66,1.262
2026-01-27,AI102933,4,138.88,178.62,1.286,166.65,159.8,0.959
2026-01-27,AI102961,5,46.39,68.17,1.469,55.67,84.97,1.526
2026-01-27,AI102977,3,36.87,54.19,1.47,44.24,68.76,1.554
2026-01-27,AI103128,4,61.99,92.47,1.492,74.39,101.91,1.37
2026-01-27,AI103146,4,34.5,44.69,1.295,41.4,60.49,1.461
2026-01-27,AI103261,4,69.75,96.32,1.381,83.7,109.14,1.304
2026-01-27,AI103264,3,26.92,35.62,1.323,32.31,50.67,1.568
2026-01-27,AI103317,1,14.09,23.91,1.697,16.91,34.01,2.012
2026-01-27,AI105115,1,83.09,109.82,1.322,99.7,105.18,1.055
2026-01-27,AI105116,2,48.19,61.02,1.266,57.82,62.24,1.076
2026-01-27,JMOTOS2,5,123.34,165.7,1.343,148.0,188.27,1.272
2026-01-28,40324200,3,54.88,65.84,1.2,65.86,74.65,1.133
2026-01-28,AI005576,2,21.11,26.05,1.234,25.33,33.43,1.32
2026-01-28,AI102087,4,40.1,58.67,1.463,48.12,74.85,1.555
2026-01-28,AI102315,3,131.19,156.4,1.192,157.42,140.36,0.892
2026-01-28,AI102448,2,40.74,55.43,1.361,48.89,63.36,1.296
2026-01-28,AI102608,2,49.55,75.16,1.517,59.46,79.23,1.333
2026-01-28,AI102933,2,81.86,104.02,1.271,98.23,107.87,1.098
2026-01-28,AI102961,4,56.05,87.2,1.556,67.25,97.39,1.448
2026-01-28,AI102977,3,47.75,63.81,1.336,57.3,81.18,1.417
2026-01-28,AI103128,2,60.96,77.06,1.264,73.16,76.92,1.051
2026-01-28,AI103146,4,57.78,76.92,1.331,69.34,89.44,1.29
2026-01-28,AI103261,2,33.47,42.78,1.278,40.17,44.88,1.117
2026-01-28,AI103264,3,41.1,59.29,1.443,49.32,70.38,1.427
2026-01-28,AI103317,3,67.06,89.13,1.329,80.48,96.14,1.195
2026-01-28,AI105115,1,58.62,81.82,1.396,70.34,79.81,1.135
2026-01-28,AI105116,3,23.9,31.35,1.312,28.68,39.46,1.376
2026-01-28,JMOTOS2,3,78.49,108.92,1.388,94.19,104.32,1.108
2026-01-29,40324200,2,45.26,61.11,1.35,54.31,71.51,1.317
2026-01-29,AI005576,2,26.35,39.55,1.501,31.62,46.07,1.457
2026-01-29,AI102087,1,9.35,10.88,1.164,11.22,12.58,1.121
2026-01-29,AI102315,2,56.46,69.85,1.237,67.76,58.99,0.871
2026-01-29,AI102448,1,36.12,46.14,1.277,43.34,47.17,1.088
2026-01-29,AI102608,3,41.31,58.85,1.425,49.57,68.25,1.377
2026-01-29,AI102933,2,17.31,24.15,1.395,20.77,28.18,1.357
2026-01-29,AI102961,2,58.18,73.7,1.267,69.81,70.48,1.01
2026-01-29,AI102977,3,29.92,43.4,1.451,35.9,58.41,1.627
2026-01-29,AI103128,1,17.58,24.55,1.397,21.09,30.98,1.469
2026-01-29,AI103146,2,12.65,18.15,1.435,15.18,25.63,1.688
2026-01-29,AI103261,3,87.18,108.24,1.242,104.62,112.87,1.079
2026-01-29,AI103264,2,16.37,22.53,1.376,19.64,29.77,1.516
2026-01-29,AI103317,2,72.08,90.54,1.256,86.5,98.95,1.144
2026-01-29,AI105115,2,117.61,144.01,1.224,141.13,123.88,0.878
2026-01-29,AI105116,2,14.33,20.15,1.407,17.19,28.28,1.645
2026-01-29,JMOTOS2,5,58.22,88.2,1.515,69.86,96.37,1.379
2026-01-30,40324200,5,199.07,241.64,1.214,238.88,232.58,0.974
2026-01-30,AI005576,5,73.93,98.78,1.336,88.71,97.63,1.101
2026-01-30,AI102087,3,37.16,61.78,1.662,44.59,66.17,1.484
2026-01-30,AI102315,4,60.53,79.09,1.307,72.64,89.49,1.232
2026-01-30,AI102448,4,106.85,147.19,1.378,128.22,167.01,1.303
2026-01-30,AI102608,2,43.18,64.35,1.49,51.82,75.6,1.459
2026-01-30,AI102933,4,51.08,66.39,1.3,61.3,81.03,1.322
2026-01-30,AI102961,3,104.25,142.9,1.371,125.1,140.15,1.12
2026-01-30,AI102977,4,15.15,29.62,1.955,18.18,43.51,2.393
2026-01-30,AI103128,3,73.02,129.04,1.767,87.62,137.64,1.571
2026-01-30,AI103146,4,123.95,154.42,1.246,148.74,149.9,1.008
2026-01-30,AI103261,5,139.21,191.47,1.375,167.06,181.58,1.087
2026-01-30,AI103264,4,138.2,168.55,1.22,165.84,186.32,1.123
2026-01-30,AI103317,1,31.1,41.94,1.349,37.32,49.08,1.315
2026-01-30,AI105115,1,43.36,67.49,1.556,52.03,63.04,1.212
2026-01-30,AI105116,3,71.91,94.93,1.32,86.29,110.38,1.279
2026-01-30,JMOTOS2,4,81.86,115.13,1.407,98.23,110.89,1.129
2026-01-31,AI102977,1,19.54,25.83,1.322,23.44,37.01,1.579
2026-02-01,AI102961,1,21.12,27.54,1.304,25.34,31.23,1.232
2026-02-02,40324200,5,118.13,160.04,1.355,141.76,172.55,1.217
2026-02-02,AI005576,4,52.2,72.99,1.398,62.64,90.89,1.451
2026-02-02,AI102087,2,58.15,74.48,1.281,69.78,85.82,1.23
2026-02-02,AI102315,2,62.01,85.67,1.382,74.41,83.55,1.123
2026-02-02,AI102448,2,60.78,77.28,1.271,72.94,85.16,1.168
2026-02-02,AI102608,2,30.98,45.84,1.48,37.18,50.0,1.345
2026-02-02,AI102933,4,70.27,97.57,1.388,84.33,103.2,1.224
2026-02-02,AI102961,3,27.17,40.98,1.508,32.61,56.34,1.728
2026-02-02,AI102977,2,18.1,28.98,1.601,21.72,39.72,1.829
2026-02-02,AI103128,2,69.94,100.31,1.434,83.93,106.84,1.273
2026-02-02,AI103146,2,56.38,70.39,1.249,67.65,77.39,1.144
2026-02-02,AI103261,4,63.23,88.99,1.407,75.87,115.06,1.516
2026-02-02,AI103264,2,15.2,21.38,1.407,18.24,29.04,1.592
2026-02-02,AI103317,5,62.18,97.2,1.563,74.62,123.27,1.652
2026-02-02,AI105115,3,182.14,238.95,1.312,218.57,235.12,1.076
2026-02-02,AI105116,3,36.34,50.01,1.376,43.6,57.47,1.318
2026-02-02,JMOTOS2,5,67.47,99.68,1.477,80.97,104.03,1.285
2026-02-03,40324200,5,54.17,77.75,1.435,65.01,99.72,1.534
2026-02-03,AI005576,4,34.93,50.34,1.441,41.92,63.06,1.504
2026-02-03,AI102087,3,50.99,61.63,1.209,61.19,68.21,1.115
2026-02-03,AI102315,3,45.91,58.01,1.264,55.09,67.72,1.229
2026-02-03,AI102448,4,82.0,113.13,1.38,98.4,140.82,1.431
2026-02-03,AI102608,6,96.07,142.32,1.481,115.29,163.66,1.42
2026-02-03,AI102933,3,104.16,126.96,1.219,124.99,116.25,0.93
2026-02-03,AI102961,3,67.79,100.89,1.488,81.35,99.45,1.223
