STRATEGIC_CITY_NAME,receipt_method_type,first_promise_weekday_short,당일,1일전,2일전,3일전,4일전,5일전,6일전,7일전,8일전,9일전,10일전,11일전,12일전,13일전,14일전,15일전,after_first_promise,missing_date,total_cases
"Philadelphia, PA",무인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Diego, CA",유인,Mon,0,10,17,48,14,1,0,0,0,0,0,0,0,0,0,0,0,0,90
"San Diego, CA",유인,Tue,0,71,13,17,7,3,0,0,0,0,1,0,0,0,0,0,0,0,112
"San Diego, CA",유인,Wed,0,51,41,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,100
"San Diego, CA",유인,Thu,0,55,36,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,96
"San Diego, CA",유인,Fri,0,46,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65
"San Diego, CA",유인,Sat,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"San Diego, CA",유인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Diego, CA",무인,Mon,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"San Diego, CA",무인,Tue,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"San Diego, CA",무인,Wed,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"San Diego, CA",무인,Thu,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"San Diego, CA",무인,Fri,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"San Diego, CA",무인,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"San Diego, CA",무인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington, DC",유인,Mon,1,16,31,68,10,2,0,1,0,0,0,0,0,0,0,0,0,0,129
"Washington, DC",유인,Tue,0,81,16,15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,118
"Washington, DC",유인,Wed,0,64,39,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,110
"Washington, DC",유인,Thu,0,59,36,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105
"Washington, DC",유인,Fri,0,66,17,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"Washington, DC",유인,Sat,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
"Washington, DC",유인,Sun,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Washington, DC",무인,Mon,0,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Washington, DC",무인,Tue,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Washington, DC",무인,Wed,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
"Washington, DC",무인,Thu,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Washington, DC",무인,Fri,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Washington, DC",무인,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington, DC",무인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
