POSTAL_CODE,region_id,region_seq,new_region_name,area_type
30187,atlanta_ga_r02,2,Atlanta New Region 2,
30188,atlanta_ga_r02,2,Atlanta New Region 2,
30189,atlanta_ga_r02,2,Atlanta New Region 2,
30205,atlanta_ga_r03,3,Atlanta New Region 3,
30213,atlanta_ga_r03,3,Atlanta New Region 3,
30214,atlanta_ga_r03,3,Atlanta New Region 3,
30215,atlanta_ga_r03,3,Atlanta New Region 3,
30223,atlanta_ga_r03,3,Atlanta New Region 3,
30224,atlanta_ga_r03,3,Atlanta New Region 3,
30228,atlanta_ga_r03,3,Atlanta New Region 3,
30233,atlanta_ga_r03,3,Atlanta New Region 3,
30234,atlanta_ga_r03,3,Atlanta New Region 3,
30236,atlanta_ga_r03,3,Atlanta New Region 3,
30238,atlanta_ga_r03,3,Atlanta New Region 3,
30248,atlanta_ga_r03,3,Atlanta New Region 3,
30252,atlanta_ga_r03,3,Atlanta New Region 3,
30253,atlanta_ga_r03,3,Atlanta New Region 3,
30260,atlanta_ga_r03,3,Atlanta New Region 3,
30263,atlanta_ga_r03,3,Atlanta New Region 3,
30265,atlanta_ga_r03,3,Atlanta New Region 3,
30268,atlanta_ga_r03,3,Atlanta New Region 3,
30269,atlanta_ga_r03,3,Atlanta New Region 3,
30273,atlanta_ga_r03,3,Atlanta New Region 3,
30274,atlanta_ga_r03,3,Atlanta New Region 3,
30276,atlanta_ga_r03,3,Atlanta New Region 3,
30277,atlanta_ga_r03,3,Atlanta New Region 3,
30281,atlanta_ga_r03,3,Atlanta New Region 3,
30290,atlanta_ga_r03,3,Atlanta New Region 3,
30291,atlanta_ga_r03,3,Atlanta New Region 3,
30294,atlanta_ga_r03,3,Atlanta New Region 3,
30296,atlanta_ga_r03,3,Atlanta New Region 3,
30297,atlanta_ga_r03,3,Atlanta New Region 3,
30303,atlanta_ga_r01,1,Atlanta New Region 1,
30305,atlanta_ga_r02,2,Atlanta New Region 2,
30306,atlanta_ga_r03,3,Atlanta New Region 3,
30307,atlanta_ga_r03,3,Atlanta New Region 3,
30308,atlanta_ga_r03,3,Atlanta New Region 3,
30309,atlanta_ga_r03,3,Atlanta New Region 3,
30310,atlanta_ga_r03,3,Atlanta New Region 3,
30311,atlanta_ga_r03,3,Atlanta New Region 3,
30312,atlanta_ga_r03,3,Atlanta New Region 3,
30313,atlanta_ga_r03,3,Atlanta New Region 3,
30314,atlanta_ga_r03,3,Atlanta New Region 3,
30315,atlanta_ga_r03,3,Atlanta New Region 3,
30316,atlanta_ga_r03,3,Atlanta New Region 3,
30317,atlanta_ga_r03,3,Atlanta New Region 3,
30318,atlanta_ga_r02,2,Atlanta New Region 2,
30319,atlanta_ga_r02,2,Atlanta New Region 2,
30322,atlanta_ga_r02,2,Atlanta New Region 2,
30324,atlanta_ga_r02,2,Atlanta New Region 2,
30326,atlanta_ga_r02,2,Atlanta New Region 2,
30327,atlanta_ga_r02,2,Atlanta New Region 2,
30328,atlanta_ga_r02,2,Atlanta New Region 2,
30329,atlanta_ga_r02,2,Atlanta New Region 2,
30331,atlanta_ga_r03,3,Atlanta New Region 3,
30332,atlanta_ga_r03,3,Atlanta New Region 3,
30336,atlanta_ga_r03,3,Atlanta New Region 3,
30337,atlanta_ga_r03,3,Atlanta New Region 3,
30338,atlanta_ga_r02,2,Atlanta New Region 2,
30339,atlanta_ga_r02,2,Atlanta New Region 2,
30340,atlanta_ga_r01,1,Atlanta New Region 1,
30341,atlanta_ga_r02,2,Atlanta New Region 2,
30342,atlanta_ga_r02,2,Atlanta New Region 2,
30344,atlanta_ga_r03,3,Atlanta New Region 3,
30345,atlanta_ga_r02,2,Atlanta New Region 2,
30349,atlanta_ga_r03,3,Atlanta New Region 3,
30350,atlanta_ga_r02,2,Atlanta New Region 2,
30354,atlanta_ga_r03,3,Atlanta New Region 3,
30360,atlanta_ga_r02,2,Atlanta New Region 2,
30363,atlanta_ga_r01,1,Atlanta New Region 1,
30501,atlanta_ga_r02,2,Atlanta New Region 2,
30504,atlanta_ga_r01,1,Atlanta New Region 1,
30506,atlanta_ga_r01,1,Atlanta New Region 1,
30507,atlanta_ga_r01,1,Atlanta New Region 1,
30510,atlanta_ga_r01,1,Atlanta New Region 1,
30512,atlanta_ga_r01,1,Atlanta New Region 1,
30513,atlanta_ga_r01,1,Atlanta New Region 1,
30517,atlanta_ga_r01,1,Atlanta New Region 1,
30518,atlanta_ga_r01,1,Atlanta New Region 1,
30519,atlanta_ga_r01,1,Atlanta New Region 1,
30523,atlanta_ga_r01,1,Atlanta New Region 1,
30527,atlanta_ga_r01,1,Atlanta New Region 1,
30528,atlanta_ga_r01,1,Atlanta New Region 1,
30531,atlanta_ga_r01,1,Atlanta New Region 1,
30533,atlanta_ga_r01,1,Atlanta New Region 1,
30534,atlanta_ga_r01,1,Atlanta New Region 1,
30535,atlanta_ga_r01,1,Atlanta New Region 1,
30536,atlanta_ga_r01,1,Atlanta New Region 1,
30540,atlanta_ga_r01,1,Atlanta New Region 1,
30542,atlanta_ga_r01,1,Atlanta New Region 1,
30548,atlanta_ga_r01,1,Atlanta New Region 1,
30549,atlanta_ga_r01,1,Atlanta New Region 1,
30554,atlanta_ga_r02,2,Atlanta New Region 2,
30560,atlanta_ga_r01,1,Atlanta New Region 1,
30564,atlanta_ga_r02,2,Atlanta New Region 2,
30566,atlanta_ga_r01,1,Atlanta New Region 1,
30567,atlanta_ga_r01,1,Atlanta New Region 1,
30572,atlanta_ga_r01,1,Atlanta New Region 1,
30601,atlanta_ga_r01,1,Atlanta New Region 1,
30605,atlanta_ga_r01,1,Atlanta New Region 1,
30606,atlanta_ga_r01,1,Atlanta New Region 1,
30607,atlanta_ga_r01,1,Atlanta New Region 1,
30619,atlanta_ga_r01,1,Atlanta New Region 1,
30620,atlanta_ga_r01,1,Atlanta New Region 1,
30621,atlanta_ga_r01,1,Atlanta New Region 1,
30622,atlanta_ga_r01,1,Atlanta New Region 1,
30628,atlanta_ga_r01,1,Atlanta New Region 1,
30641,atlanta_ga_r01,1,Atlanta New Region 1,
30650,atlanta_ga_r01,1,Atlanta New Region 1,
30655,atlanta_ga_r01,1,Atlanta New Region 1,
30656,atlanta_ga_r01,1,Atlanta New Region 1,
30663,atlanta_ga_r01,1,Atlanta New Region 1,
30666,atlanta_ga_r02,2,Atlanta New Region 2,
30677,atlanta_ga_r01,1,Atlanta New Region 1,
30680,atlanta_ga_r01,1,Atlanta New Region 1,
30683,atlanta_ga_r01,1,Atlanta New Region 1,
